threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.78,0.009426542990422632,0.49448996891777336,0.01850040965192801,1750,183896,476228,1789,185646,0.005332525694516645
0.79,0.009440385613003631,0.49364227182820003,0.01852647206977916,1747,183309,476815,1792,185056,0.005332525694516645
0.8,0.009451908537609816,0.49279457473862676,0.018548061174568736,1744,182769,477355,1795,184513,0.005332525694516645
0.81,0.009466329554413724,0.4919468776490534,0.018575223788236048,1741,182174,477950,1798,183915,0.005332525694516645
0.82,0.009480017236394975,0.4910991805594801,0.01860096750717068,1738,181595,478529,1801,183333,0.005332525694516645
0.83,0.009489286907193351,0.48968635207685784,0.018617792722623896,1733,180894,479230,1806,182627,0.005332525694516645
0.84,0.00949904624738199,0.48827352359423565,0.018635549899704507,1728,180185,479939,1811,181913,0.005332525694516645
0.85,0.00949805458208008,0.4862955637185646,0.018632195481070077,1721,179474,480650,1818,181195,0.005332525694516645
0.86,0.009532307317154274,0.4860129980220401,0.018697887790931525,1720,178719,481405,1819,180439,0.005332525694516645
0.87,0.009535313501959387,0.48403503814636906,0.018702200483658775,1713,177935,482189,1826,179648,0.005332525694516645
0.88,0.009568923090689454,0.48346990675332013,0.01876641787361459,1711,177097,483027,1828,178808,0.005332525694516645
0.89,0.009610358955337121,0.4831873410567957,0.018845882560394992,1710,176223,483901,1829,177933,0.005332525694516645
0.9,0.009629077100427206,0.48149194687764907,0.018880572622061685,1704,175260,484864,1835,176964,0.005332525694516645
0.91,0.009671916756695285,0.48064424978807574,0.018962259418423822,1701,174169,485955,1838,175870,0.005332525694516645
0.92,0.009695845782249848,0.4786662899124046,0.01900669273448413,1694,173020,487104,1845,174714,0.005332525694516645
0.93,0.00974552080870523,0.4775360271263069,0.019101225191012254,1690,171723,488401,1849,173413,0.005332525694516645
0.94,0.00976080785518172,0.47414523876801357,0.019127847661170354,1678,170234,489890,1861,171912,0.005332525694516645
0.95,0.009809104258443465,0.47188471319581804,0.019218707743297907,1670,168580,491544,1869,170250,0.005332525694516645
0.96,0.00987856849913518,0.4696241876236225,0.01935010653036989,1662,166581,493543,1877,168243,0.005332525694516645
0.97,0.009949467812143422,0.46566826787228033,0.019482668936492174,1648,163989,496135,1891,165637,0.005332525694516645
0.98,0.009963684343574471,0.45662616558349817,0.01950183433095192,1616,160573,499551,1923,162189,0.005332525694516645
0.99,0.010068723030206169,0.445040972025996,0.01969193068440399,1575,154850,505274,1964,156425,0.005332525694516645
1.0,0.014516364851598889,0.19638315908448714,0.027034386183289252,695,47182,612942,2844,47877,0.005332525694516645
