range,code,event_date,y_prob,y_pred,close_t,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,
"[0.85,1.00]",600759,6/16/25,0.9210896,1,2.67,2.62,2.58,2.72,2.55,2.67,1
"[0.85,1.00]",600773,7/22/25,0.8581724,1,12.27,12.1,12.16,11.34,11.15,11.3,0
"[0.85,1.00]",600774,7/18/25,0.91157097,1,10.92,11.03,9.93,10.92,10.92,10.61,1
"[0.85,1.00]",600792,6/16/25,0.9120609,1,4.06,3.84,3.64,3.47,3.52,3.59,0
"[0.85,1.00]",600794,6/20/25,0.8639621,1,4.76,5.24,5.15,5.34,5.32,5.1,1
"[0.85,1.00]",600794,6/23/25,0.91636866,1,5.24,5.15,5.34,5.32,5.1,5.33,1
"[0.85,1.00]",600794,6/25/25,0.8522687,1,5.34,5.32,5.1,5.33,5.19,5.3,0
"[0.85,1.00]",600798,6/20/25,0.85882,1,4.36,4.8,4.91,4.43,4.64,4.48,1
"[0.85,1.00]",600798,6/23/25,0.8941145,1,4.8,4.91,4.43,4.64,4.48,4.56,1
"[0.85,1.00]",600807,7/7/25,0.8505992,1,3.36,3.3,3.3,3.33,3.32,3.28,0
"[0.85,1.00]",600815,7/22/25,0.8740329,1,3.34,3.21,3.13,2.94,2.95,2.91,0
"[0.85,1.00]",600822,7/14/25,0.9072526,1,12.09,13.3,14.63,16.09,15.4,15.76,1
"[0.85,1.00]",600822,7/15/25,0.9229783,1,13.3,14.63,16.09,15.4,15.76,14.18,1
"[0.85,1.00]",600822,7/16/25,0.87329257,1,14.63,16.09,15.4,15.76,14.18,12.85,1
"[0.85,1.00]",600822,7/17/25,0.878729,1,16.09,15.4,15.76,14.18,12.85,12.89,0
"[0.85,1.00]",600822,7/21/25,0.89691776,1,15.76,14.18,12.85,12.89,12.62,12.68,0
"[0.85,1.00]",600826,7/14/25,0.9435408,1,9.89,10.88,11.97,13.17,14.49,13.9,1
"[0.85,1.00]",600826,7/15/25,0.9157606,1,10.88,11.97,13.17,14.49,13.9,15.29,1
"[0.85,1.00]",600826,7/17/25,0.8900264,1,13.17,14.49,13.9,15.29,13.76,13.54,1
"[0.85,1.00]",600826,7/22/25,0.8939603,1,15.29,13.76,13.54,12.21,11.83,11.5,0
"[0.85,1.00]",600826,7/23/25,0.8527636,1,13.76,13.54,12.21,11.83,11.5,11.17,0
"[0.85,1.00]",600828,8/1/25,0.91531223,1,5.12,4.61,4.57,4.25,4.2,,0
"[0.85,1.00]",600829,7/18/25,0.9159487,1,9.24,10.16,9.5,8.65,8.73,8.59,1
"[0.85,1.00]",600829,7/21/25,0.91922164,1,10.16,9.5,8.65,8.73,8.59,8.59,0
"[0.85,1.00]",600841,7/16/25,0.85145897,1,6.92,6.7,6.6,6.67,6.61,6.48,0
"[0.85,1.00]",600858,6/26/25,0.8814767,1,6.53,6.05,5.99,5.99,6.01,5.84,0
"[0.85,1.00]",600960,6/17/25,0.963851,1,5.05,4.81,4.33,3.9,3.92,4.18,0
"[0.85,1.00]",600960,6/20/25,0.8639842,1,3.9,3.92,4.18,4.21,4.63,5.09,1
"[0.85,1.00]",600960,6/23/25,0.8873074,1,3.92,4.18,4.21,4.63,5.09,5.4,1
"[0.85,1.00]",600960,6/27/25,0.8510245,1,5.09,5.4,5.29,5,4.98,4.89,1
"[0.85,1.00]",600962,7/1/25,0.9412646,1,13.43,13.43,13.43,13.43,14.77,16.25,1
"[0.85,1.00]",600962,7/2/25,0.9412646,1,13.43,13.43,13.43,14.77,16.25,17.88,1
"[0.85,1.00]",600962,7/3/25,0.9412646,1,13.43,13.43,14.77,16.25,17.88,19.67,1
"[0.85,1.00]",600962,7/4/25,0.9412646,1,13.43,14.77,16.25,17.88,19.67,21.64,1
"[0.85,1.00]",600962,7/7/25,0.9884991,1,14.77,16.25,17.88,19.67,21.64,21.3,1
"[0.85,1.00]",600962,7/8/25,0.992147,1,16.25,17.88,19.67,21.64,21.3,19.6,1
"[0.85,1.00]",600962,7/9/25,0.992008,1,17.88,19.67,21.64,21.3,19.6,20.8,1
"[0.85,1.00]",600962,7/10/25,0.98233736,1,19.67,21.64,21.3,19.6,20.8,21.23,1
"[0.85,1.00]",600967,6/30/25,0.8903254,1,19.35,19.31,17.38,17.03,16.84,17.82,0
"[0.85,1.00]",600980,6/12/25,0.88018996,1,25.03,27.53,29,26.1,23.5,22,1
"[0.85,1.00]",601003,7/15/25,0.9310612,1,5.57,5.06,5.57,6.13,6.74,7.41,1
"[0.85,1.00]",601003,7/16/25,0.916642,1,5.06,5.57,6.13,6.74,7.41,7.79,1
"[0.85,1.00]",601003,7/17/25,0.9425964,1,5.57,6.13,6.74,7.41,7.79,8.15,1
"[0.85,1.00]",601003,7/18/25,0.90364236,1,6.13,6.74,7.41,7.79,8.15,7.34,1
"[0.85,1.00]",601003,7/22/25,0.8733759,1,7.41,7.79,8.15,7.34,6.71,6.82,1
"[0.85,1.00]",601005,7/22/25,0.85143876,1,1.65,1.6,1.64,1.58,1.54,1.58,0
"[0.85,1.00]",601208,7/17/25,0.85229677,1,14.21,15.26,15.55,15.1,15.1,15.1,1
"[0.85,1.00]",601218,7/1/25,0.92310154,1,4.52,4.97,5.47,4.92,4.49,4.5,1
"[0.85,1.00]",601218,7/2/25,0.93213236,1,4.97,5.47,4.92,4.49,4.5,4.3,1
"[0.85,1.00]",601218,7/3/25,0.9463851,1,5.47,4.92,4.49,4.5,4.3,4.26,0
"[0.85,1.00]",601279,6/12/25,0.889931,1,4.35004612,4.7890416,4.37000046,3.94,3.74,3.69,1
"[0.85,1.00]",601279,6/13/25,0.92495835,1,4.7890416,4.37000046,3.94,3.74,3.69,3.75,0
"[0.85,1.00]",601279,7/17/25,0.8894057,1,4.72,4.5,4.21,4.19,4.11,4.15,0
"[0.85,1.00]",601606,6/19/25,0.8848232,1,16.69,18.36,20.2,20.29,22.32,24.55,1
"[0.85,1.00]",601606,6/20/25,0.9249006,1,18.36,20.2,20.29,22.32,24.55,26.41,1
"[0.85,1.00]",601606,6/23/25,0.94685054,1,20.2,20.29,22.32,24.55,26.41,29.05,1
"[0.85,1.00]",601606,6/24/25,0.855358,1,20.29,22.32,24.55,26.41,29.05,31.96,1
"[0.85,1.00]",601606,6/25/25,0.9043319,1,22.32,24.55,26.41,29.05,31.96,29.6,1
"[0.85,1.00]",601606,6/26/25,0.93890643,1,24.55,26.41,29.05,31.96,29.6,30.5,1
"[0.85,1.00]",601606,6/30/25,0.8628249,1,29.05,31.96,29.6,30.5,28.28,28.69,1
"[0.85,1.00]",601606,7/1/25,0.8551008,1,31.96,29.6,30.5,28.28,28.69,28.77,0
"[0.85,1.00]",601606,7/3/25,0.8576048,1,30.5,28.28,28.69,28.77,28.43,26.66,0
"[0.85,1.00]",601606,7/31/25,0.8633241,1,34.68,35.3,38.83,42.71,46.98,51.68,1
"[0.85,1.00]",601669,7/21/25,0.8682077,1,5.59,6.15,6.77,7.45,7.22,7.03,1
"[0.85,1.00]",601718,6/30/25,0.91533643,1,3.92,4.31,4.13,3.82,4.11,4.01,1
"[0.85,1.00]",601718,7/1/25,0.93606883,1,4.31,4.13,3.82,4.11,4.01,3.96,0
"[0.85,1.00]",601890,7/2/25,0.8658973,1,11.33,10.84,10.07,10.05,10.19,10.04,0
"[0.85,1.00]",601908,7/10/25,0.86726797,1,3.84,4.22,4.64,4.23,3.82,3.88,1
"[0.85,1.00]",601908,7/11/25,0.888645,1,4.22,4.64,4.23,3.82,3.88,4.01,1
"[0.85,1.00]",601929,8/5/25,0.8804807,1,2.22,2.23,2.45,,,,1
"[0.85,1.00]",601929,8/7/25,0.865507,1,2.45,,,,,,0
"[0.85,1.00]",603001,7/15/25,0.8863916,1,8.48,8.31,8.59,8.87,8.22,8.01,1
